품목,기후,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
향신료,건기/우기,성,성,성,성,비,비,비,비,비,비,비,성
향신료,우기/건기,비,비,비,비,성,성,성,성,성,성,성,비
향신료,건기2/우기2,성,성,성,성,비,비,비,비,비,비,성,성
보석,남반구,성,성,평,평,평,비,비,비,평,평,평,성
보석,북반구,비,비,평,평,평,성,성,성,평,평,평,비
보석,열대,평,평,평,평,평,평,평,평,평,평,평,평
보석,한대,평,평,평,평,평,평,평,평,평,평,평,평
보석,건기/우기,비,비,비,비,성,성,성,성,성,성,성,비
보석,우기/건기,성,성,성,성,비,비,비,비,비,비,비,성
보석,건기2/우기2,비,비,비,비,성,성,성,성,성,성,비,비
염료,남반구,성,성,평,평,평,비,비,비,평,평,평,성
염료,북반구,비,비,평,평,평,성,성,성,평,평,평,비
염료,열대,평,평,평,평,평,평,평,평,평,평,평,평
염료,한대,평,평,평,평,평,평,평,평,평,평,평,평
염료,건기/우기,비,비,비,비,성,성,성,성,성,성,성,비
염료,우기/건기,성,성,성,성,비,비,비,비,비,비,비,성
염료,건기2/우기2,비,비,비,비,성,성,성,성,성,성,비,비
잡화,남반구,평,평,평,평,평,평,평,평,평,평,평,평
잡화,북반구,평,평,평,평,평,평,평,평,평,평,평,평
잡화,열대,평,평,평,평,평,평,평,평,평,평,평,평
잡화,한대,평,평,평,평,평,평,평,평,평,평,평,평
잡화,건기/우기,평,평,평,평,성,성,성,성,성,성,성,평
잡화,우기/건기,성,성,성,성,평,평,평,평,평,평,평,성
잡화,건기2/우기2,평,평,평,평,성,성,성,성,성,성,평,평
공업품/공예품/무기류/미술품/총포류,남반구,평,평,평,평,평,평,평,평,평,평,평,평
공업품/공예품/무기류/미술품/총포류,북반구,평,평,평,평,평,평,평,평,평,평,평,평
공업품/공예품/무기류/미술품/총포류,열대,평,평,평,평,평,평,평,평,평,평,평,평
공업품/공예품/무기류/미술품/총포류,한대,평,평,평,평,평,평,평,평,평,평,평,평
공업품/공예품/무기류/미술품/총포류,건기/우기,평,평,평,평,평,평,평,평,평,평,평,평
공업품/공예품/무기류/미술품/총포류,우기/건기,평,평,평,평,평,평,평,평,평,평,평,평
