등급,이름,타입,직업,포격,충파,지원,백병,박물,심미,척후,보급,구매,판매,협상,교환,Lv 10 직업 효과,Lv 10 직업 효과,Lv 30 인물 효과,Lv 30 인물 효과,LV 50 직업 효과,LV 50 직업 효과,LV 70 인물 효과,LV 70 인물 효과,잠재 효과 1,잠재 효과 2,인연 연대기 추가 효과 1,인연 연대기 추가 효과 2,교전 기술 LV 1,교전 기술 LV 50,인연 연대기 추가 기술
S+,이마이 사키,교역,백화 상인,116,67,92,44,188,138,165,209,233,224,466,359,직물 판매 할증,직물 구매 할인,직물 거래 우대,공예품 거래 우대,공예품 판매 할증,공예품 구매 할인,방어 무시 포격,신출귀몰,직물 판매 달인,경이로운 수완,,,광역 충파: 싸움 유발,충파: 방어 무시,
S+,다테 마사무네,교역,센다이 번주,116,66,46,90,186,139,163,209,472,221,377,227,총포류 구매 할인,총포류 거래 전문,긴축 배급,총포류 판매 할증,공업품 구매 할인,공업품 거래 전문,시작 시 상태이상 제거,현명한 탐험가,총포류 판매 달인,공업품 거래 달인,,,정밀 백병: 혼란 유발,정밀 충파: 혼란 유발,
S+,누이 호쿠,모험,유적 탐험가,68,90,119,46,377,239,472,227,161,181,138,207,숙련된 탐험가,탐험 물자 절약,능숙한 돛 조종,보석 판매 할증,충파 방어력 증폭,명성 지향,기회 포착,명성 추구,탐험 물자 절약 심화,관측 후 전투,,,난전 백병: 중독 유발,광역 포격: 싸움 유발,
S+,김만덕,교역,제주 상단 상인,89,44,118,65,165,212,188,134,377,448,236,218,의약품 구매 할인,의약품 판매 할증,백병 피해 무시,의약품 거래 전문,염료 구매 할인,염료 거래 전문,시작 시 상태이상 제거,현명한 탐험가,염료 판매 달인,경이로운 수완,,,백병: 키 손상 유발,백병: 혼란 유발,
S+,홍길동,모험,활빈당 당주,68,90,46,113,233,368,466,227,181,159,136,204,친절한 이방인,명성 추구,귀금속 판매 할증,긴축 배급,백병 방어력 증폭,숙련된 탐험가,혼란 포격,명성 지향,성실한 탐험가,관찰 채집,,,정밀 포격: 혼란 유발,강화 포격: 돛 손상 유발,
S+,척계광,전투,척가군 대장,475,231,222,370,86,66,43,118,130,162,173,208,포격 치명타 발생 증폭,포격 반격 강화,시작 시 상급 수리,포격 시 추가 고정 피해,포격 방어력 증폭,포격 시 추가 포격,시작 시 상태이상 제거,포격 피해 무시,포격 공격력 증폭 심화,포격 치명타 피해 증폭,,,강화 포격: 돛 손상 유발,광역 포격: 싸움 유발,
S+,정성공,전투,충의지사,225,375,222,463,44,89,110,67,198,140,154,185,백병 치명타 추가 피해,백병 공격력 증폭,방어 무시 백병,백병 시 추가 고정 피해,백병 반격 강화,백병 시 추가 백병,혼란 백병,선원 긴급 치료,행동 전 공방 위력 증폭 심화,백병 피해 무효,,,강화 백병: 키 손상 유발,난전 백병: 중독 유발,
S+,피리 레이스,모험,오스만 제독,113,90,46,67,472,373,236,227,161,204,184,134,포격 공격력 증폭,경계 강화,신들린 수완,기회 포착,빗물 모으기,긴축 배급,포격 피해 무시,능숙한 돛 조종,해적 척결,관찰 심화,,,충파: 혼란 유발,충파: 방어 무시,
S+,이순신,전투,수군절도사,463,225,222,375,108,44,65,92,176,203,132,164,백병 공격력 증폭,방어 무시 백병,혼란 포격,포격 시 추가 고정 피해,포격 공격력 증폭,방어 무시 포격,혼란 백병,백병 시 추가 고정 피해,행동 전 공방 위력 증폭 심화,행동 전 치명타 발생 증폭 심화,,,포격: 혼란 유발,포격: 방어 무시,
S+,마리벨,전투,방랑 해적,469,370,222,228,178,200,133,164,42,69,107,91,포격 공격력 증폭,포격 명중 증폭,포격 피해 무시,포격 시 추가 고정 피해,포격 치명타 추가 피해,포격 치명타 발생 증폭,방어 무시 포격,혼란 포격,대혼란 포격,포격 피해 무효,,,포격: 방어 무시,광역 포격: 싸움 유발,
S+,정화,모험,태감,115,67,47,92,475,237,380,231,187,203,164,139,포격 공격력 증폭,칭찬과 격려,공예품 판매 할증,명성 추구,신들린 수완,능숙한 돛 조종,백병 피해 무시,긴축 배급 LV2,맹수 척결,채집 우선 관찰,,,광역 충파: 싸움 유발,난전 백병: 중독 유발 LV2,
S+,이올린 팬드래건,전투,복수의 여왕,239,377,218,460,104,65,41,95,142,141,163,207,백병 공격력 증가,백병 공격력 증폭,백병 피해 무시,백병 시 추가 고정 피해,백병 치명타 발생 증폭,방어 무시 백병,혼란 백병 LV2,선원 긴급 치료,극독 백병,백병 치명타 피해 증폭,,,강화 백병: 키 손상 유발,난전 백병: 중독 유발 LV2,
S+,로잘리아 폴헴,전투,조선소 소장,368,224,454,221,155,136,199,184,109,89,43,66,시작 시 상급 수리,포격 공격력 증폭,이동 방해 포격,피해 반사,포격 시 추가 포격,포격 방어력 증폭,방어 무시 포격 LV2,포격 피해 무시,시작 시 최상급 수리,기회 창출,,,포격 위력 강화,정밀 포격: 혼란 유발 LV2,
S+,윌리엄 애덤스,교역,남만 항해사,67,44,114,89,164,183,211,135,237,440,380,222,기호품 판매 할증,온화한 협상,매력적인 제안,기회 포착,섬유 판매 할증,신들린 수완,뛰어난 협상,공업품 판매 할증 LV2,천부적인 장사꾼,기호품 거래 달인,,,백병: 키 손상 유발,의술: 전 범위 LV2,
S+,표트르 1세,전투,차르,460,373,227,233,179,204,134,161,44,69,112,93,포격 공격력 증폭,포격 방어력 증폭,혼란 포격,포격 시 추가 포격,포격 치명타 발생 증폭,포격 치명타 추가 피해,방어 무시 포격,포격 시 추가 고정 피해,극독 포격,이동 억제 포격,,,정밀 포격: 혼란 유발,광역 포격: 싸움 유발 LV2,
S+,엘리자베스 셜랜드,모험,잉글랜드 사략해적,90,44,70,115,375,469,234,225,183,133,160,208,백병 방어력 증폭,심해 인양 기술자,향료 판매 할증,기회 포착,온화한 협상,심해 인양 보물 사냥꾼,해적 사냥,천해 인양 기술자 LV2,해적 척결,관측 후 전투,,,충파: 혼란 유발,정밀 포격: 혼란 유발 LV2,
S+,일리아나 페레오스,전투,자유로운 영웅,228,225,375,469,195,187,130,160,110,67,88,46,백병 방어력 증폭,백병 공격력 증폭,혼란 백병,백병 시 추가 고정 피해,백병 명중 증폭,백병 회피 증폭,방어 무시 백병,백병 피해 무시 LV2,대혼란 백병,백병 치명타 피해 저항 증폭,,,정밀 백병: 혼란 유발,난전 백병: 중독 유발 LV2,
S+,소연미,교역,소가의 세가주,44,112,68,86,142,160,213,176,240,225,384,434,의약품 거래 전문,매력적인 제안,의약품 거래 우대,기회 포착,의약품 구매 할인,신들린 수완,충파 치명타 피해 저항,의약품 판매 할증 LV2,의약품 구매 달인,의약품 판매 달인,,,행동 봉쇄,광역 충파: 싸움 유발 LV2,
S+,흑태자,전투,죽음의 군주,230,373,221,478,188,132,146,184,61,93,40,119,백병 공격력 증폭,백병 시 추가 백병,호전적인 탐험가,방어 무시 백병,혼란 백병,백병 시 추가 고정 피해,백병 피해 무시,백병 치명타 추가 피해 LV2,투쟁적인 탐험가,백병 피해 무효,,,정밀 백병: 혼란 유발,난전 백병: 중독 유발 LV2,
S+,라이너스 라쳇,교역,북풍의 발명가,94,116,67,47,170,134,191,165,413,373,206,236,식료품 판매 할증,뛰어난 협상,매력적인 제안,기회 포착,탐사의 기본,공예품 판매 할증,신들린 수완,조미료 판매 할증 LV2,천부적인 장사꾼,경이로운 수완,,,광역 포격: 싸움 유발,행동 봉쇄 LV2,
S,안사제,전투,특공대,152,177,110,403,153,165,115,152,52,44,87,89,백병 회피 증가,백병 회피 증폭,선원 긴급 치료,무기류 판매 할증,백병 명중 증가,백병 명중 증폭,방어 무시 백병,중재자,백병 공격력 증폭 심화,백병 시 추가 고정 피해 심화,,,백병: 방어 무시,난전 백병: 중독 유발,
S,모치즈키 치요메,전투,특공대,148,174,113,393,156,170,117,148,54,43,90,87,백병 회피 증가,백병 회피 증폭,방어 무시 백병,보석 구매 할인,백병 명중 증가,백병 명중 증폭,선원 긴급 치료,칭찬과 격려,백병 공격력 증폭 심화,극독 백병,,,정밀 백병: 혼란 유발,백병: 방어 무시,
S,옹은설,모험,생물학자,39,60,107,82,409,129,159,156,127,160,148,186,의술 회복량 증가,채집의 달인,명성 지향,신출귀몰,해양 생태 연구,맹수 사냥,시작 시 상급 수리,긴축 배급,성실한 탐험가,전투적인 관찰,,,정화: 전투태세,행동 봉쇄,
S,미야모토 무사시,전투,백병대,152,177,110,403,115,128,153,196,87,88,52,44,백병 치명타 발생 증가,백병 치명타 발생 증폭,백병 시 추가 고정 피해,무기류 구매 할인,백병 치명타 추가 피해,백병 공격력 증가,백병 시 추가 백병,중재자,백병 공격력 증폭 심화,백병 피해 무효,,,정밀 백병: 혼란 유발,강화 백병: 키 손상 유발,
S,시클라 샤란,전투,타격대,152,174,110,403,36,55,72,109,170,131,132,179,백병 공격력 증가,백병 공격력 증폭,보석 구매 할인,백병 시 추가 고정 피해,백병 명중 증가,백병 방어력 증폭,귀마개 착용,백병 시 추가 백병,백병 치명타 피해 증폭,백병 피해 무효,,,정밀 백병: 혼란 유발,강화 백병: 키 손상 유발,
S,심광문,교역,가공상,58,81,106,36,157,191,179,117,159,163,136,330,수리 회복량 증가,공예품 거래 전문,기회 포착,공예품 거래 우대,공예품 구매 할인,침수 해소,내구도 증가,공예품 판매 할증,공업품 판매 달인,공예품 거래 달인,,,추가 기동력 증가,충파 위력 강화,
S,백여우,교역,가축상,65,44,73,112,144,110,126,196,340,177,132,134,백병 회피 증가,가축 거래 전문,시작 시 상태이상 제거,가축 거래 우대,가축 구매 할인,쥐 해소,기술 봉쇄 백병,가축 판매 할증,가축 판매 달인,잡화 거래 달인,,,포격 위력 강화,백병: 방어 무시,
S,나타샤,교역,보석상,59,101,85,37,132,148,199,158,179,122,403,130,충파 공격력 증가,보석 거래 전문,백병 피해 무시,신들린 수완,보석 구매 할인,귀금속 거래 전문,시작 시 상급 수리,보석 판매 할증,보석 판매 달인,공예품 거래 달인,,,추가 기동력 감소,충파 위력 강화,
S,안젤리카,교역,협상가,103,37,85,57,132,148,199,165,179,132,403,115,포격 회피 증가,기호품 거래 전문,무기류 판매 할증,신들린 수완,기호품 구매 할인,향수병 해소,이동 봉쇄 포격,귀금속 판매 할증,탁월한 협상,천부적인 장사꾼,,,공격력 증가,행동 봉쇄,
S,메흐메트 슐루크,전투,타격대,150,177,111,398,36,55,73,107,170,132,132,177,백병 공격력 증가,백병 공격력 증폭,백병 시 추가 고정 피해,총포류 구매 할인,백병 방어력 증폭,백병 명중 증가,백병 시 추가 백병,기상 관측가,백병 치명타 피해 증폭,대혼란 백병,,,난전 백병: 중독 유발,백병: 키 손상 유발,
S,G.S,모험,수석 항해사,83,61,110,38,139,154,417,166,130,164,195,135,수리 회복량 증가,육분의 활용,내구도 증가,시작 시 상급 수리 LV2,능숙한 돛 조종,무풍 해소,능숙한 노 젓기,명성 지향,탐험 물자 절약 심화,관찰 심화,,,충파: 혼란 유발 LV2,행동 봉쇄,
S,로빈 보니르,교역,약품상,39,59,108,84,135,151,203,157,137,359,183,147,의술 회복량 증가,의약품 거래 전문,시작 시 상급 의술,의약품 판매 할증,의약품 구매 할인,전염병 해소,시작 시 상태이상 제거,향료 판매 할증 LV2,의약품 판매 달인,직물 거래 달인,,,기술 봉쇄,행동 봉쇄 LV2,
S,칼스 브란트,전투,조타원,176,406,114,156,90,76,54,44,116,158,154,200,충파 치명타 발생 증가,충파 치명타 발생 증폭,귀금속 구매 할인,혼란 충파,충파 공격력 증가,충파 치명타 추가 피해,방어 무시 충파 LV2,충파 시 추가 고정 피해,충파 공격력 증폭 심화,충파 방어력 증폭 심화,,,광역 충파: 싸움 유발 LV2,충파: 혼란 유발,
S,쿤 그리어,모험,보급장,107,39,88,62,164,176,140,385,149,119,192,166,포격 방어력 증가,결벽증,능숙한 돛 조종 LV2,신출귀몰,부패 해소,긴축 배급,신들린 수완,명성 추구,관측 후 전투,채집의 명인,,,추가 기동력 증가,정화: 전투태세 LV2,
S,크로우,전투,백병대,154,176,114,411,116,133,154,198,90,88,54,45,백병 치명타 발생 증가,백병 치명타 발생 증폭,귀금속 구매 할인,백병 시 추가 고정 피해,백병 공격력 증가,백병 치명타 추가 피해,백병 시 추가 백병,방어 무시 백병 LV2,백병 공격력 증폭 심화,백병  치명타 피해 증폭,,,강화 백병: 키 손상 유발,정밀 백병: 혼란 유발 LV2,
S,사라 란드그리드,전투,유탄수,401,154,114,173,179,114,139,178,36,110,72,65,포격 치명타 발생 증가,포격 치명타 발생 증폭,총포류 구매 할인,포격 시 추가 고정 피해,포격 공격력 증가,포격 치명타 추가 피해,방어 무시 포격 LV2,포격 피해 무시,포격 시 추가 고정 피해 심화,포격 방어력 증폭 심화,,,정밀 포격: 혼란 유발,광역 포격: 싸움 유발 LV2,
S,하야 벨,교역,회계사,105,59,85,37,200,171,133,147,183,119,160,337,포격 공격력 증가,공업품 거래 전문,신들린 수완 LV2,공업품 판매 할증,총포류 거래 전문,공업품 구매 할인,포격 피해 무시,총포류 판매 할증,바가지의 현인,후려치기의 현인,,,포격 위력 강화,정밀 포격: 혼란 유발 LV2,
S,카자 아미고,교역,염료상,39,59,85,102,178,128,156,176,411,119,183,143,백병 방어력 증가,염료 거래 전문,염료 판매 할증,혼란 백병,오염 해소,염료 구매 할인,백병 피해 무시,귀금속 판매 할증 LV2,염료 판매 달인,미술품 거래 달인,,,백병 공격력 강화,정밀 백병: 혼란 유발 LV2,
S,예카테리나 1세,모험,수석 항해사,83,60,108,38,140,151,422,166,126,161,190,133,수리 회복량 증가,육분의 활용,뛰어난 협상,영양사,무풍 해소,능숙한 돛 조종,포격 봉쇄 포격,긴축 배급 LV2,탐험 물자 절약 심화,관측 후 전투,,,충파 위력 강화,포격: 돛 손상 유발 LV2,
S,하이레딘 레이스,전투,대사수,411,156,112,183,157,168,137,137,35,111,71,68,포격 회피 증가,포격 회피 증폭,방어 무시 포격,포격 공격력 증폭,포격 명중 증가,포격 명중 증폭,포격 시 추가 포격,포격 시 추가 고정 피해 LV2,대혼란 포격,포격 치명타 피해 증폭,,,강화 포격: 돛 손상 유발,광역 포격: 싸움 유발 LV2,
S,나오에 가네쓰구,교역,협상가,104,38,86,58,135,151,203,166,185,133,417,116,포격 회피 증가,기호품 거래 전문,매력적인 제안,총포류 판매 할증,향수병 해소,기호품 구매 할인,충파 피해 무시,거래의 승부사 LV2,탁월한 협상,주류 판매 달인,,,충파 위력 강화,행동 봉쇄 LV2,
S,미나카미 유카,전투,백병대,154,173,114,411,116,133,154,198,90,86,54,45,백병 치명타 발생 증가,백병 치명타 발생 증폭,무기류 판매 할증,기회 포착,백병 공격력 증가,백병 치명타 추가 피해,백병 시 추가 백병,백병 시 추가 고정 피해 LV2,백병 공격력 증폭 심화,백병 피해 무효,,,정밀 백병: 혼란 유발,강화 백병: 키 손상 유발 LV2,
S,소피 로잘린 비도크,교역,보석상,60,104,85,37,133,149,200,161,183,124,411,131,충파 공격력 증가,보석 거래 전문,신들린 수완,신출귀몰,귀금속 거래 전문,보석 구매 할인,시작 시 상급 의술,보석 판매 할증 LV2,보석 판매 달인,귀금속 거래 달인,,,기술 봉쇄,충파 위력 강화 LV2,
S,클로에 드라보메,전투,특공대,154,178,112,406,154,168,116,154,53,44,89,90,백병 회피 증가,백병 회피 증폭,향신료 구매 할인,백병 치명타 피해 저항,백병 명중 증가,백병 명중 증폭,심해 튼튼한 로프,선원 긴급 치료 LV2,백병 공격력 증폭 심화,대혼란 백병,,,정밀 백병: 혼란 유발,백병: 키 손상 유발 LV2,
S,석양,전투,조타장,176,401,114,154,54,95,36,88,174,133,135,176,충파 방어력 증가,충파 치명타 추가 피해,조미료 구매 할인,방어 무시 충파,충파 공격력 증가,충파 공격력 증폭,천해 튼튼한 로프,혼란 충파 LV2,충파 시 추가 고정 피해 심화,극독 충파,,,충파: 방어 무시,충파: 혼란 유발 LV2,
S,블라드 3세,전투,특공대,157,174,118,409,167,178,125,157,57,43,96,90,백병 회피 증가,백병 회피 증폭,백병 치명타 저항 증폭,향신료 구매 할인,백병 명중 증가,백병 명중 증폭,선원 긴급 치료 LV2,칭찬과 격려,백병 공격력 증폭 심화,백병 치명타 피해 증폭,,,백병: 키 손상 유발,백병: 방어 무시 LV2,
S,케이타 자하라,전투,백병대,154,173,114,411,116,133,154,198,90,86,54,45,백병 치명타 발생 증가,백병 치명타 발생 증폭,귀금속 거래 우대,방어 무시 백병,백병 공격력 증가,백병 치명타 추가 피해,이동 전 기동력 소모 감소,백병 시 추가 고정 피해 LV2,백병 공격력 증폭 심화,백병 피해 무효,,,백병 공격력 증폭 심화,백병 피해 무효,
S,비비엔 하트,전투,수리공,178,151,396,117,124,154,166,200,96,86,58,39,수리 극대화 발생 증가,포격 공격력 증폭,섬유 구매 할인,내구도 증가,수리 회복량 증가,기술 봉쇄 포격,심해 인양 전문가,시작 시 상급 수리 LV2,충파 피해 무효,포격 피해 무효,,,수리: 전 범위,행동 봉쇄 LV2,
S,아델라 플라멩코,교역,향료상,105,38,85,58,178,128,156,190,160,343,183,117,포격 공격력 증가,향료 거래 전문,향료 거래 우대,향신료 판매 할증,향신료 거래 전문,향료 구매 할인,포격 피해 무시,향료 판매 할증 LV2,향료 판매 달인,흥정의 기법,,,정밀 포격: 혼란 유발,포격 위력 강화 LV2,
S,엘리자베스 팬드래건,교역,협상가,102,37,85,58,135,149,203,164,180,131,406,116,포격 회피 증가,기호품 거래 전문,타고난 장사꾼,귀금속 판매 할증,향수병 해소,기호품 구매 할인,이동 봉쇄 포격,거래의 승부사 LV2,탁월한 협상,후려치기의 현인,,,정밀 포격: 혼란 유발,행동 봉쇄 LV2,
S,오필리어 버킹엄,교역,보석상,58,104,86,37,135,151,203,157,185,124,417,131,충파 공격력 증가,보석 거래 전문,보석 거래 우대,잡화 판매 할증,귀금속 거래 전문,보석 구매 할인,시작 시 상급 수리,보석 판매 할증 LV2,보석 판매 달인,잡화 판매 달인,,,강화 백병: 키 손상 유발,충파 위력 강화 LV2,
S,블랙 레이븐,교역,협상가,105,38,86,60,135,151,203,168,183,133,411,121,포격 회피 증가,기호품 거래 전문,매력적인 제안,흥정의 기술,향수병 해소,기호품 구매 할인,바가지의 달인,귀금속 판매 할증 LV2,주류 판매 달인,탁월한 협상,,,포격 위력 강화,공격력 증가 LV2,
S,안젤라 레오니다스,전투,백병대,151,178,114,401,119,133,159,195,90,89,54,44,백병 치명타 발생 증가,백병 치명타 발생 증폭,조미료 구매 할인,방어 무시 백병,백병 공격력 증가,백병 치명타 추가 피해,굳건한 마음,백병 시 추가 백병 LV2,백병 공격력 증폭 심화,백병 시 추가 고정 피해 심화,,,백병: 키 손상 유발,정밀 백병: 혼란 유발 LV2,
S,선희,교역,가축상,60,38,86,105,180,130,158,182,411,152,160,126,백병 회피 증가,가축 거래 전문,조미료 구매 할인,시작 시 상태이상 제거,쥐 해소,가축 구매 할인,관찰 공부,가축 판매 할증 LV2,가축 거래 달인,가축 판매 달인,,,강화 백병: 키 손상 유발,추가 기동력 감소 LV2,
S,임화,교역,방적상,78,104,65,37,158,195,180,117,139,374,162,150,충파 공격력 증가,직물 거래 전문,뛰어난 협상,채집 공부,섬유 거래 전문,직물 구매 할인,굳건한 마음,직물 판매 할증 LV2,섬유 거래 달인,직물 판매 달인,,,정화: 전투태세,행동 봉쇄 LV2,
S,아르칸 베르다드,교역,가공상,58,83,108,37,158,195,180,117,162,166,139,337,수리 회복량 증가,공예품 거래 전문,공예품 거래 우대,바가지의 달인,침수 해소,공예품 구매 할인,채집 공부,공예품 판매 할증 LV2,공업품 판매 달인,공예품 구매 달인,,,추가 기동력 감소,추가 기동력 증가 LV2,
S,예바,교역,미술상,38,102,64,77,203,171,135,133,158,123,406,154,충파 방어력 증가,미술품 거래 전문,공예품 판매 할증,신출귀몰,정서불안 해소,미술품 구매 할인,행동 전 공방 위력 증폭,미술품 판매 할증 LV2,미술품 판매 달인,보석 거래 달인,,,기술 봉쇄,추가 기동력 감소 LV2,
S,잉게보르크,모험,상담사,58,82,108,37,137,151,183,353,178,184,156,112,백병 회피 증가,싸움 해소,공예품 거래 우대,칭찬과 격려,향수병 해소,심리 상담,백병 피해 무시,능숙한 노 젓기,꼼꼼한 탐험가,관찰 채집,,,추가 기동력 증가,행동 봉쇄,
S,상경,교역,방적상,78,102,64,37,158,192,180,117,135,369,158,150,충파 공격력 증가,직물 거래 전문,고향의 노래,온화한 협상,직물 구매 할인,섬유 거래 전문,굳건한 마음,직물 판매 할증 LV2,직물 판매 달인,섬유 거래 달인,,,정밀 충파: 혼란 유발,행동 봉쇄,
S,청린,교역,회계사,102,59,86,37,203,173,135,143,185,119,162,337,포격 공격력 증가,공업품 거래 전문,공업품 판매 할증,매력적인 제안,총포류 거래 전문,공업품 구매 할인,굳건한 마음,총포류 판매 할증,바가지의 현인,경이로운 수완,,,충파 위력 강화,광역 충파: 싸움 유발,
S,마와르,교역,향료상,105,38,85,58,178,128,156,190,160,343,183,117,포격 공격력 증가,향료 거래 전문,향료 거래 우대,향신료 판매 할증,향료 구매 할인,향신료 거래 전문,치명적인 백병,향료 판매 할증 LV2,향료 판매 달인,섬유 거래 달인,,,정밀 포격: 혼란 유발,백병 공격력 강화 LV2,
S,켈레벡,모험,생물학자,38,60,108,83,422,130,164,152,126,161,147,187,의술 회복량 증가,채집의 달인,식료품 판매 할증,굳건한 마음,해양 생태 연구,맹수 사냥,시작 전 이동력 증폭,명성 지향,성실한 탐험가,전투적인 관찰,,,수리: 전 범위,추가 기동력 증가,
S,니타,전투,백병대,156,178,114,417,117,133,157,200,89,89,53,46,백병 치명타 발생 증가,백병 치명타 발생 증폭,무기류 구매 할인,방어 무시 백병,백병 공격력 증가,백병 치명타 추가 피해,기회 포착,백병 시 추가 백병 LV2,백병 공격력 증폭 심화,백병 시 추가 고정 피해 심화,,,정밀 백병: 혼란 유발,백병: 키 손상 유발 LV2,
S,코르넬리아,전투,유탄수,411,154,112,176,174,112,135,183,35,110,71,66,포격 치명타 발생 증가,포격 치명타 발생 증폭,귀금속 판매 할증,포격 시 추가 포격,포격 공격력 증가,포격 치명타 추가 피해,섬유 판매 할증,방어 무시 포격,포격 치명타 피해 저항 증폭,포격 시 추가 고정 피해 심화,,,포격: 키 손상 유발,포격: 혼란 유발,
S,아니사,모험,측량사,41,98,86,59,140,173,422,145,147,157,126,179,방어력 증가,방수 처리,선원 긴급 치료,명성 지향,경계 강화,침수 해소,시작 시 상급 수리,천해 인양 전문가 LV2,꼼꼼한 탐험가,채집 우선 전투,,,충파 위력 강화,행동 봉쇄 LV2,
